image,mode,sharpness_before,sharpness_after,contrast_before,contrast_after,quality_before,quality_after,confidence_before,confidence_after,confidence_delta
data/eval/ISIC_0029528.jpg,AI Super Resolution,34.53426731407407,81.31959943572483,20.34126226403664,20.632497842400525,10.937176103181361,17.574493273721632,0.9572314620018005,0.8859934210777283,-0.07123804092407227
data/eval/dark_ISIC_0033572.jpg,Brightness Enhanced + AI Super Resolution,13.557176819080931,63.06904322159722,13.929443528132882,17.150711514625254,6.0768378131111955,13.974879505411186,0.9769179821014404,0.9676456451416016,-0.009272336959838867
data/eval/dark_ISIC_0032673.jpg,Brightness Enhanced + AI Super Resolution,3.8694666401097395,40.26779527706597,11.984090948752424,14.984912055130511,4.136952614241091,10.132964955328388,0.8131106495857239,0.9222056865692139,0.10909503698348999
data/eval/noise_ISIC_0033572.jpg,No Enhancement,3786.8214159406857,3786.8214159406857,37.21250456009608,37.21250456009608,81.16375136802881,81.16375136802881,0.8774543404579163,0.8774543404579163,0.0
data/eval/noise_ISIC_0034043.jpg,No Enhancement,3766.444098938766,3766.444098938766,27.414777332503125,27.414777332503125,78.22443319975093,78.22443319975093,0.862616777420044,0.862616777420044,0.0
data/eval/dark_ISIC_0029338.jpg,Brightness Enhanced + AI Super Resolution,6.39358137765432,50.06266836197483,6.952943786948942,8.484609083461024,2.9809845289562875,9.554156295714783,0.9369893670082092,0.9974294304847717,0.0604400634765625
data/eval/dark_ISIC_0034043.jpg,Brightness Enhanced + AI Super Resolution,5.7030664756652945,43.103377072044275,9.526329746512383,11.278507889399451,3.6563282305468556,9.418025156906031,0.7838342189788818,0.7213611602783203,-0.06247305870056152
data/eval/blur_ISIC_0029338.jpg,AI Super Resolution,1.6628444202469135,32.76082075770833,16.962489576282742,16.980972931183274,5.32154509171939,9.680806785434148,0.9999769926071167,0.9999818801879883,4.887580871582031e-06
data/eval/noise_ISIC_0033718.jpg,No Enhancement,3743.950556957147,3743.950556957147,44.42772721416405,44.42772721416405,83.32831816424921,83.32831816424921,0.9360060691833496,0.9360060691833496,0.0
data/eval/blur_ISIC_0029929.jpg,AI Super Resolution,1.9949481454595337,34.74257485623264,22.66993548977626,22.71081617712654,7.080273387297212,11.677205333010532,0.8549420237541199,0.8619990944862366,0.007057070732116699
data/eval/ISIC_0029307.jpg,AI Super Resolution,30.60845881481481,66.38822707603732,25.551404469399213,25.611772351656096,11.950605574893839,16.977883496142056,0.9999343156814575,0.999860405921936,-7.390975952148438e-05
data/eval/ISIC_0029310.jpg,AI Super Resolution,43.47121799691358,79.3775978741276,14.2409540835144,14.510384224716068,10.35825674462222,15.465978969792685,0.9999264478683472,0.9998762607574463,-5.0187110900878906e-05
data/eval/blur_ISIC_0029698.jpg,AI Super Resolution,1.8493369955418382,37.51748333192708,30.076659461566948,30.08796852379517,9.28190501784594,14.278838223608343,0.6090785264968872,0.6062353849411011,-0.002843141555786133
data/eval/ISIC_0029306.jpg,No Enhancement,95.60458136788753,95.60458136788753,35.1554338747623,35.1554338747623,23.931271553932945,23.931271553932945,0.9792011976242065,0.9792011976242065,0.0
data/eval/noise_ISIC_0033996.jpg,No Enhancement,3761.9580084014265,3761.9580084014265,21.595150676492114,21.595150676492114,76.47854520294763,76.47854520294763,0.9934942126274109,0.9934942126274109,0.0
data/eval/ISIC_0029548.jpg,AI Super Resolution,35.674603407283946,72.23279578638889,33.72773114131043,33.92395709373776,15.11276381941288,20.28977853821577,0.7940681576728821,0.8653022050857544,0.07123404741287231
data/eval/blur_ISIC_0029972.jpg,AI Super Resolution,1.6202074038957475,33.850264576037326,21.39334918977255,21.40627042149715,6.64483379347717,11.16091816709437,0.9967179894447327,0.9981623291969299,0.0014443397521972656
data/eval/dark_ISIC_0033594.jpg,Brightness Enhanced + AI Super Resolution,15.263261833072702,70.90065795817709,13.862615615837768,17.560113760700204,6.295641341381508,15.194126242354855,0.7814569473266602,0.7758923172950745,-0.005564630031585693
data/eval/noise_ISIC_0033594.jpg,No Enhancement,3807.5491929721675,3807.5491929721675,37.138226041639044,37.138226041639044,81.14146781249171,81.14146781249171,0.45433804392814636,0.45433804392814636,0.0
data/eval/blur_ISIC_0029342.jpg,AI Super Resolution,1.5891813776543209,28.268856117078993,11.469746542956258,11.545404183103884,3.663409355758482,7.421261111322225,0.968377411365509,0.9663660526275635,-0.0020113587379455566
