image,category,mode,sharpness_before,sharpness_after,contrast_before,contrast_after,quality_before,quality_after,confidence_before,confidence_after,confidence_delta
data/eval/blur_ISIC_0030875.jpg,blur,AI Super Resolution,1.6212073915500684,31.702974789930554,21.880601879669854,21.857712135247453,6.791149598717965,10.995730111164512,0.9999909400939941,0.9999889135360718,-2.0265579223632812e-06
data/eval/blur_ISIC_0030337.jpg,blur,AI Super Resolution,1.6564222208504797,31.55258957454427,9.248561449237146,9.332675545685795,3.0064675456902106,7.217165204141936,0.9995236396789551,0.9995102882385254,-1.33514404296875e-05
data/eval/blur_ISIC_0029338.jpg,blur,AI Super Resolution,1.6628444202469135,32.76082075770833,16.962489576282742,16.980972931183274,5.32154509171939,9.680806785434148,0.9999769926071167,0.9999818801879883,4.887580871582031e-06
data/eval/blur_ISIC_0030865.jpg,blur,AI Super Resolution,1.6883925912208502,35.24086339614149,36.98703162932419,36.95560699963899,11.332484451568176,16.020402975351505,0.9999663829803467,0.9999570846557617,-9.298324584960938e-06
data/eval/blur_ISIC_0030722.jpg,blur,AI Super Resolution,1.7439703683950618,38.65351017697482,27.296675383833293,27.306676387377916,8.433158466725295,13.60349434098985,0.9996720552444458,0.9997525811195374,8.052587509155273e-05
data/eval/blur_ISIC_0029929.jpg,blur,AI Super Resolution,1.9949481454595337,34.74257485623264,22.66993548977626,22.71081617712654,7.080273387297212,11.677205333010532,0.8549420237541199,0.8619990944862366,0.007057070732116699
data/eval/blur_ISIC_0029698.jpg,blur,AI Super Resolution,1.8493369955418382,37.51748333192708,30.076659461566948,30.08796852379517,9.28190501784594,14.278838223608343,0.6090785264968872,0.6062353849411011,-0.002843141555786133
data/eval/blur_ISIC_0030400.jpg,blur,AI Super Resolution,1.9112148134430726,35.70699355676649,31.434068830788757,31.397752082220748,9.697790723118658,14.41830472261353,0.9988242983818054,0.998264729976654,-0.0005595684051513672
data/eval/blur_ISIC_0029972.jpg,blur,AI Super Resolution,1.6202074038957475,33.850264576037326,21.39334918977255,21.40627042149715,6.64483379347717,11.16091816709437,0.9967179894447327,0.9981623291969299,0.0014443397521972656
data/eval/blur_ISIC_0029342.jpg,blur,AI Super Resolution,1.5891813776543209,28.268856117078993,11.469746542956258,11.545404183103884,3.663409355758482,7.421261111322225,0.968377411365509,0.9663660526275635,-0.0020113587379455566
