image,category,mode,sharpness_before,sharpness_after,contrast_before,contrast_after,quality_before,quality_after,confidence_before,confidence_after,confidence_delta
data/eval/ISIC_0029307.jpg,original,AI Super Resolution,30.60845881481481,66.38822707603732,25.551404469399213,25.611772351656096,11.950605574893839,16.977883496142056,0.9999343156814575,0.999860405921936,-7.390975952148438e-05
data/eval/ISIC_0029310.jpg,original,AI Super Resolution,43.47121799691358,79.3775978741276,14.2409540835144,14.510384224716068,10.35825674462222,15.465978969792685,0.9999264478683472,0.9998762607574463,-5.0187110900878906e-05
data/eval/ISIC_0029313.jpg,original,AI Super Resolution,22.435265579135805,63.92348829026042,21.960842840327377,22.128916299401073,9.729190033177225,15.587963250456783,0.9744229912757874,0.9645727872848511,-0.00985020399093628
data/eval/ISIC_0029306.jpg,original,No Enhancement,95.60458136788753,95.60458136788753,35.1554338747623,35.1554338747623,23.931271553932945,23.931271553932945,0.9792011976242065,0.9792011976242065,0.0
data/eval/ISIC_0029312.jpg,original,AI Super Resolution,33.87135899422496,69.17949420770833,17.23421081587537,17.40043300329473,9.912253503954107,14.905259090067585,0.9999129772186279,0.9998843669891357,-2.86102294921875e-05
data/eval/ISIC_0029309.jpg,original,AI Super Resolution,32.943570370370374,75.80243034331596,17.507726069957968,17.849645313218645,9.864417672839243,15.967233842029827,0.7565776109695435,0.677962064743042,-0.07861554622650146
data/eval/ISIC_0029314.jpg,original,AI Super Resolution,32.899551843278466,71.02072010484375,31.025264608450133,31.060978568261763,13.913516640594024,19.261194385156653,0.9995885491371155,0.9991650581359863,-0.0004234910011291504
data/eval/ISIC_0029315.jpg,original,AI Super Resolution,23.613910155061728,59.50854778734376,19.69051264821478,19.855304302492545,9.213101216173076,14.28778798097589,0.5987358093261719,0.33738017082214355,-0.2613556385040283
data/eval/ISIC_0029308.jpg,original,AI Super Resolution,50.75827071336076,87.73471397298177,41.65728587190144,41.713372826704905,19.603343661440938,24.796871804228914,0.9984481334686279,0.998856782913208,0.0004086494445800781
data/eval/ISIC_0029311.jpg,original,AI Super Resolution,22.167519470562414,59.412949739149305,12.51426403547193,12.792981467444909,6.857731936520317,12.155707403714375,0.9976264834403992,0.9982141256332397,0.0005876421928405762
